$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_H_Gas_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.17 01:36:00	19.757283	0	60	60	1	19.756000	19.758000	0.000000	NaN	NaN	19757.283333	0
2021.12.17 01:37:00	19.757417	0	60	60	1	19.756000	19.758000	0.000000	NaN	NaN	19757.416667	9
2021.12.17 01:38:00	19.753467	0	60	60	1	19.688000	19.758000	0.000210	NaN	NaN	19753.466667	9
2021.12.17 01:39:00	19.755050	0	60	60	1	19.721000	19.759000	0.000082	NaN	NaN	19755.050000	0
2021.12.17 01:40:00	19.755600	0	60	60	1	19.722000	19.759000	0.000061	NaN	NaN	19755.600000	9
2021.12.17 01:41:00	19.749367	0	60	60	1	19.685000	19.758000	0.000398	NaN	NaN	19749.366667	0
2021.12.17 01:42:00	19.744533	0	60	60	1	19.685000	19.758000	0.000503	NaN	NaN	19744.533333	9
2021.12.17 01:43:00	19.736500	0	60	60	1	19.685000	19.758000	0.000743	NaN	NaN	19736.500000	9
2021.12.17 01:44:00	19.738233	0	60	60	1	19.686000	19.758000	0.000618	NaN	NaN	19738.233333	9
2021.12.17 01:45:00	19.740433	0	60	60	1	19.685000	19.758000	0.000539	NaN	NaN	19740.433333	9
2021.12.17 01:46:00	19.710167	0	60	60	1	19.685000	19.758000	0.000610	NaN	NaN	19710.166667	9
2021.12.17 01:47:00	19.723583	0	60	60	1	19.685000	19.758000	0.000813	NaN	NaN	19723.583333	9
2021.12.17 01:48:00	19.712033	0	60	60	1	19.685000	19.758000	0.000634	NaN	NaN	19712.033333	0
2021.12.17 01:49:00	19.705950	0	60	60	1	19.685000	19.757000	0.000785	NaN	NaN	19705.950000	0
2021.12.17 01:50:00	19.709417	0	60	60	1	19.685000	19.758000	0.000761	NaN	NaN	19709.416667	0
2021.12.17 01:51:00	19.699767	0	60	60	1	19.685000	19.757000	0.000476	NaN	NaN	19699.766667	9
2021.12.17 01:52:00	19.701150	0	60	60	1	19.685000	19.757000	0.000606	NaN	NaN	19701.150000	9
2021.12.17 01:53:00	19.700433	0	60	60	1	19.684000	19.757000	0.000566	NaN	NaN	19700.433333	9
