$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.13 04:00:10
$Filename; CO2FT_A ZeroCycle 20211213 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.13 04:01:24	0	0	NaN	NaN	1023.890000	998.510000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	49.997000	31.910000	39.692000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:25	0	0	NaN	NaN	1023.960000	998.530000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	49.997000	31.880000	39.688000	25.970000	66666.000000	66666.000000
2021.12.13 04:01:26	0	0	NaN	NaN	1023.900000	998.520000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	49.997000	31.880000	39.688000	25.970000	66666.000000	66666.000000
2021.12.13 04:01:27	0	0	NaN	NaN	1023.910000	998.600000	1.000000	0.000000	22234.000000	15115.000000	46.700000	-81.823000	2.000000	66666.000000	26.180000	50.002000	31.889000	39.723000	25.800000	66666.000000	66666.000000
2021.12.13 04:01:28	0	0	NaN	NaN	1023.930000	998.570000	1.000000	0.000000	22234.000000	15115.000000	46.700000	-81.823000	2.000000	66666.000000	26.180000	49.995000	31.880000	39.688000	25.800000	66666.000000	66666.000000
2021.12.13 04:01:29	0	0	NaN	NaN	1023.980000	998.590000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.000000	31.899000	39.757000	25.970000	66666.000000	66666.000000
2021.12.13 04:01:30	0	0	NaN	NaN	1024.000000	998.570000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.003000	31.880000	39.755000	25.970000	66666.000000	66666.000000
2021.12.13 04:01:31	0	0	NaN	NaN	1024.000000	998.560000	1.000000	0.000000	22234.000000	15115.000000	46.700000	-81.823000	2.000000	66666.000000	26.180000	50.001000	31.880000	39.755000	25.800000	66666.000000	66666.000000
2021.12.13 04:01:32	0	0	NaN	NaN	1023.910000	998.600000	1.000000	0.000000	22234.000000	15115.000000	46.700000	-81.823000	2.000000	66666.000000	26.180000	50.003000	31.880000	39.755000	25.800000	66666.000000	66666.000000
2021.12.13 04:01:33	0	0	NaN	NaN	1023.940000	998.600000	1.000000	0.000000	22234.000000	15115.000000	46.700000	-81.823000	2.000000	66666.000000	26.180000	50.002000	31.869000	39.754000	25.800000	66666.000000	66666.000000
2021.12.13 04:01:34	0	0	NaN	NaN	1023.980000	998.590000	1.000000	0.000000	22234.000000	15115.000000	46.700000	-81.823000	2.000000	66666.000000	26.180000	50.004000	31.899000	39.757000	25.800000	66666.000000	66666.000000
2021.12.13 04:01:35	0	0	NaN	NaN	1024.000000	998.570000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.300000	50.005000	31.899000	39.757000	25.920000	66666.000000	66666.000000
2021.12.13 04:01:36	0	0	NaN	NaN	1023.980000	998.570000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.004000	31.899000	39.757000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:37	0	0	NaN	NaN	1024.000000	998.620000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.300000	49.997000	31.899000	39.757000	25.920000	66666.000000	66666.000000
2021.12.13 04:01:38	0	0	NaN	NaN	1024.040000	998.670000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.300000	50.007000	31.880000	39.789000	25.920000	66666.000000	66666.000000
