$Timestamp	PCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.08 01:50:00	470.339000	0	60	60	1	469.640000	471.160000	0.160250	NaN	NaN	47033.900000	0
2021.12.08 01:51:00	469.498333	0	60	60	1	468.870000	470.140000	0.131956	NaN	NaN	46949.833333	0
2021.12.08 01:52:00	468.597667	0	60	59	1	467.610000	469.430000	0.295079	NaN	NaN	46859.766667	0
2021.12.08 01:53:00	468.052881	0	59	59	1	467.550000	469.190000	0.123393	NaN	NaN	46805.288136	9
2021.12.08 01:54:00	468.926393	0	61	61	1	468.060000	469.700000	0.164423	NaN	NaN	46892.639344	0
2021.12.08 01:55:00	469.685254	0	59	59	1	469.280000	470.500000	0.091036	NaN	NaN	46968.525424	9
2021.12.08 01:56:00	470.146230	0	61	61	1	469.500000	470.490000	0.085624	NaN	NaN	47014.622951	0
2021.12.08 01:57:00	469.588475	0	59	60	1	468.740000	470.470000	0.188148	NaN	NaN	46958.847458	0
2021.12.08 01:58:00	469.374754	0	61	62	1	469.090000	469.760000	0.050522	NaN	NaN	46937.475410	9
2021.12.08 01:59:00	469.656441	0	59	58	1	469.070000	470.210000	0.065016	NaN	NaN	46965.644068	0
2021.12.08 02:00:00	469.492167	0	60	60	1	469.140000	470.120000	0.061400	NaN	NaN	46949.216667	0
2021.12.08 02:01:00	469.513333	0	60	60	1	468.850000	470.080000	0.080253	NaN	NaN	46951.333333	0
2021.12.08 02:02:00	469.422167	0	60	60	1	468.780000	469.880000	0.050655	NaN	NaN	46942.216667	0
2021.12.08 02:03:00	468.886000	0	60	59	1	468.160000	469.760000	0.130045	NaN	NaN	46888.600000	0
2021.12.08 02:04:00	468.714667	0	60	60	1	468.500000	469.070000	0.035168	NaN	NaN	46871.466667	9
2021.12.08 02:05:00	469.037049	0	61	61	1	468.480000	469.500000	0.030134	NaN	NaN	46903.704918	0
2021.12.08 02:06:00	469.821525	0	59	60	1	468.880000	470.480000	0.176244	NaN	NaN	46982.152542	9
2021.12.08 02:07:00	469.570820	0	61	61	1	468.630000	470.390000	0.138758	NaN	NaN	46957.081967	9
2021.12.08 02:08:00	469.578475	0	59	59	1	468.630000	470.110000	0.072544	NaN	NaN	46957.847458	0
2021.12.08 02:09:00	469.931167	0	60	59	1	469.410000	470.410000	0.048614	NaN	NaN	46993.116667	9
2021.12.08 02:10:00	469.888000	0	60	60	1	469.510000	470.560000	0.077999	NaN	NaN	46988.800000	0
2021.12.08 02:11:00	469.746167	0	60	60	1	469.150000	470.310000	0.049122	NaN	NaN	46974.616667	0
2021.12.08 02:12:00	469.874754	0	61	61	1	469.400000	470.430000	0.042455	NaN	NaN	46987.475410	0
2021.12.08 02:13:00	470.246000	0	60	60	1	469.700000	470.990000	0.078309	NaN	NaN	47024.600000	0
2021.12.08 02:14:00	470.938136	0	59	60	1	470.500000	471.430000	0.061074	NaN	NaN	47093.813559	0
2021.12.08 02:15:00	471.035574	0	61	61	1	470.380000	471.780000	0.131272	NaN	NaN	47103.557377	0
2021.12.08 02:16:00	471.617458	0	59	59	1	470.860000	472.300000	0.151226	NaN	NaN	47161.745763	0
2021.12.08 02:17:00	470.883607	0	61	60	1	470.070000	471.800000	0.187687	NaN	NaN	47088.360656	0
2021.12.08 02:18:00	470.380000	0	60	59	1	469.650000	471.150000	0.124746	NaN	NaN	47038.000000	0
2021.12.08 02:19:00	468.414667	0	60	60	1	467.070000	469.770000	0.423480	NaN	NaN	46841.466667	9
2021.12.08 02:20:00	466.167119	0	59	59	1	465.120000	467.240000	0.299624	NaN	NaN	46616.711864	9
2021.12.08 02:21:00	465.216500	0	60	60	1	464.550000	465.680000	0.073254	NaN	NaN	46521.650000	0
2021.12.08 02:22:00	464.141148	0	61	61	1	463.090000	464.700000	0.141027	NaN	NaN	46414.114754	9
2021.12.08 02:23:00	462.516949	0	59	59	1	461.400000	463.430000	0.299328	NaN	NaN	46251.694915	0
2021.12.08 02:24:00	460.639508	0	61	60	1	458.890000	461.900000	0.789101	NaN	NaN	46063.950820	0
2021.12.08 02:25:00	458.513729	0	59	59	1	456.690000	459.580000	0.700896	NaN	NaN	45851.372881	9
2021.12.08 02:26:00	456.133167	0	60	60	1	455.100000	456.830000	0.172568	NaN	NaN	45613.316667	9
2021.12.08 02:27:00	454.329500	0	60	60	1	453.390000	455.200000	0.269490	NaN	NaN	45432.950000	9
2021.12.08 02:28:00	452.627500	0	60	60	1	451.410000	453.580000	0.291883	NaN	NaN	45262.750000	0
2021.12.08 02:29:00	449.569672	0	61	61	1	447.650000	451.570000	1.611283	NaN	NaN	44956.967213	0
2021.12.08 02:30:00	446.335932	0	59	60	1	445.350000	447.720000	0.526631	NaN	NaN	44633.593220	9
2021.12.08 02:31:00	445.270500	0	60	59	1	444.280000	445.910000	0.151140	NaN	NaN	44527.050000	9
2021.12.08 02:32:00	444.212500	0	60	59	1	443.060000	444.900000	0.207067	NaN	NaN	44421.250000	9
2021.12.08 02:33:00	442.594098	0	61	61	1	441.820000	443.390000	0.165621	NaN	NaN	44259.409836	9
2021.12.08 02:34:00	441.843051	0	59	59	1	440.710000	442.490000	0.175797	NaN	NaN	44184.305085	9
2021.12.08 02:35:00	440.269000	0	60	61	1	439.420000	441.060000	0.223250	NaN	NaN	44026.900000	0
2021.12.08 02:36:00	438.951167	0	60	59	1	438.010000	440.010000	0.335658	NaN	NaN	43895.116667	0
2021.12.08 02:37:00	438.369333	0	60	59	1	437.340000	438.820000	0.106027	NaN	NaN	43836.933333	9
2021.12.08 02:38:00	437.654754	0	61	61	1	437.080000	438.430000	0.087892	NaN	NaN	43765.475410	0
2021.12.08 02:39:00	437.428500	0	60	60	1	436.800000	438.110000	0.126935	NaN	NaN	43742.850000	9
2021.12.08 02:40:00	437.226167	0	60	60	1	436.780000	437.870000	0.057166	NaN	NaN	43722.616667	0
2021.12.08 02:41:00	437.051500	0	60	60	1	436.560000	437.580000	0.069904	NaN	NaN	43705.150000	9
2021.12.08 02:42:00	436.965667	0	60	60	1	436.350000	437.470000	0.105381	NaN	NaN	43696.566667	0
2021.12.08 02:43:00	438.171356	0	59	58	1	437.260000	439.030000	0.218833	NaN	NaN	43817.135593	9
2021.12.08 02:44:00	439.101803	0	61	61	1	438.650000	439.770000	0.078842	NaN	NaN	43910.180328	0
2021.12.08 02:45:00	440.277119	0	59	59	1	439.310000	441.280000	0.222107	NaN	NaN	44027.711864	0
2021.12.08 02:46:00	441.243934	0	61	61	1	440.680000	442.080000	0.186621	NaN	NaN	44124.393443	0
2021.12.08 02:47:00	442.082203	0	59	59	1	441.350000	442.970000	0.185507	NaN	NaN	44208.220339	0
2021.12.08 02:48:00	443.406393	0	61	61	1	442.800000	444.250000	0.166880	NaN	NaN	44340.639344	9
2021.12.08 02:49:00	442.771695	0	59	58	1	441.800000	443.700000	0.384042	NaN	NaN	44277.169492	0
2021.12.08 02:50:00	441.320000	0	61	61	1	440.410000	441.880000	0.113030	NaN	NaN	44132.000000	0
2021.12.08 02:51:00	440.547966	0	59	59	1	440.150000	440.970000	0.060330	NaN	NaN	44054.796610	9
2021.12.08 02:52:00	440.307833	0	60	60	1	439.830000	440.870000	0.080482	NaN	NaN	44030.783333	0
2021.12.08 02:53:00	439.632623	0	61	61	1	438.970000	440.740000	0.150606	NaN	NaN	43963.262295	0
2021.12.08 02:54:00	439.614746	0	59	59	1	438.920000	440.420000	0.146105	NaN	NaN	43961.474576	0
2021.12.08 02:55:00	439.753167	0	60	59	1	438.880000	440.460000	0.160632	NaN	NaN	43975.316667	9
2021.12.08 02:56:00	440.404000	0	60	60	1	439.540000	441.240000	0.130607	NaN	NaN	44040.400000	9
2021.12.08 02:57:00	440.179167	0	60	61	1	439.570000	440.770000	0.080926	NaN	NaN	44017.916667	9
2021.12.08 02:58:00	439.990333	0	60	60	1	439.440000	440.800000	0.086498	NaN	NaN	43999.033333	0
2021.12.08 02:59:00	440.511148	0	61	60	1	439.780000	441.630000	0.195767	NaN	NaN	44051.114754	0
2021.12.08 03:00:00	440.182881	0	59	59	1	439.440000	441.190000	0.190217	NaN	NaN	44018.288136	9
2021.12.08 03:01:00	439.463500	0	60	60	1	438.740000	440.320000	0.137772	NaN	NaN	43946.350000	0
