$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_P_In_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.03 02:02:00	990.890333	128	60	59	1	990.790000	990.990000	0.003966	NaN	NaN	99089.033333	8388617
2021.12.03 02:03:00	990.896500	128	60	60	1	990.760000	991.010000	0.004627	NaN	NaN	99089.650000	8388617
2021.12.03 02:04:00	990.885085	128	59	59	1	990.770000	990.990000	0.004284	NaN	NaN	99088.508475	8388608
2021.12.03 02:05:00	990.899016	128	61	61	1	990.770000	990.990000	0.003882	NaN	NaN	99089.901639	8388608
2021.12.03 02:06:00	990.898333	128	60	60	1	990.770000	990.990000	0.003865	NaN	NaN	99089.833333	8388608
2021.12.03 02:07:00	990.907167	128	60	60	1	990.790000	991.010000	0.004068	NaN	NaN	99090.716667	8388617
2021.12.03 02:08:00	990.897627	128	59	59	1	990.770000	990.990000	0.003736	NaN	NaN	99089.762712	8388608
2021.12.03 02:09:00	990.873770	128	61	60	1	990.750000	990.990000	0.004651	NaN	NaN	99087.377049	8388617
2021.12.03 02:10:00	990.887000	128	60	59	1	990.770000	991.010000	0.004340	NaN	NaN	99088.700000	8388617
2021.12.03 02:11:00	990.895667	128	60	60	1	990.760000	990.990000	0.003974	NaN	NaN	99089.566667	8388608
2021.12.03 02:12:00	990.896102	128	59	58	1	990.770000	991.010000	0.004117	NaN	NaN	99089.610169	8388608
2021.12.03 02:13:00	990.882951	128	61	61	1	990.770000	990.990000	0.004094	NaN	NaN	99088.295082	8388608
2021.12.03 02:14:00	990.890167	128	60	60	1	990.770000	990.990000	0.004178	NaN	NaN	99089.016667	8388617
2021.12.03 02:15:00	990.915763	128	59	59	1	990.800000	991.020000	0.004256	NaN	NaN	99091.576271	8388608
2021.12.03 02:16:00	990.905082	128	61	60	1	990.790000	991.010000	0.004705	NaN	NaN	99090.508197	8388617
2021.12.03 02:17:00	990.895333	128	60	59	1	990.760000	991.010000	0.004334	NaN	NaN	99089.533333	8388608
