$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 00:00:09
$Filename; CO2FT_A_Signal_Proc_20211202.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Proc, digits; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, digits; Float
$8; Maximum; digits; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Proc	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	digits	Flags	Cnt	Sec	MR	digits	digits	Units	Deg	Deg	Units	Flags
2021.12.02 02:02:00	1880.675133	128	60	59	1	1880.222000	1881.062000	0.048166	NaN	NaN	1880675.133333	8388608
2021.12.02 02:03:00	1880.930317	128	60	60	1	1880.778000	1881.341000	0.022640	NaN	NaN	1880930.316667	8388617
2021.12.02 02:04:00	1880.987300	128	60	60	1	1880.781000	1881.343000	0.029008	NaN	NaN	1880987.300000	8388608
2021.12.02 02:05:00	1880.931317	128	60	60	1	1880.501000	1881.343000	0.051902	NaN	NaN	1880931.316667	8388617
2021.12.02 02:06:00	1881.057283	128	60	59	1	1880.781000	1881.343000	0.020033	NaN	NaN	1881057.283333	8388608
2021.12.02 02:07:00	1881.412814	128	59	58	1	1880.781000	1881.903000	0.061289	NaN	NaN	1881412.813559	8388617
2021.12.02 02:08:00	1881.476902	128	61	61	1	1881.060000	1881.900000	0.035621	NaN	NaN	1881476.901639	8388608
2021.12.02 02:09:00	1881.950900	128	60	60	1	1881.339000	1882.180000	0.078471	NaN	NaN	1881950.900000	8388608
2021.12.02 02:10:00	1882.187417	128	60	60	1	1881.897000	1882.739000	0.040051	NaN	NaN	1882187.416667	8388608
2021.12.02 02:11:00	1882.494867	128	60	60	1	1882.177000	1883.018000	0.056878	NaN	NaN	1882494.866667	8388608
2021.12.02 02:12:00	1882.959533	128	60	60	1	1882.735000	1883.295000	0.041882	NaN	NaN	1882959.533333	8388608
2021.12.02 02:13:00	1883.326817	128	60	60	1	1883.014000	1883.574000	0.021495	NaN	NaN	1883326.816667	8388608
2021.12.02 02:14:00	1883.653186	128	59	59	1	1883.291000	1884.133000	0.062253	NaN	NaN	1883653.186441	8388608
2021.12.02 02:15:00	1883.998951	128	61	60	1	1883.571000	1884.412000	0.080265	NaN	NaN	1883998.950820	8388608
2021.12.02 02:16:00	1884.326600	128	60	60	1	1884.131000	1884.691000	0.032621	NaN	NaN	1884326.600000	8388608
2021.12.02 02:17:00	1884.707800	128	60	60	1	1884.408000	1884.970000	0.034039	NaN	NaN	1884707.800000	8388617
2021.12.02 02:18:00	1884.888750	128	60	60	1	1884.687000	1885.249000	0.045352	NaN	NaN	1884888.750000	8388608
2021.12.02 02:19:00	1885.246917	128	60	60	1	1884.686000	1885.808000	0.055867	NaN	NaN	1885246.916667	8388608
2021.12.02 02:20:00	1885.798133	128	60	60	1	1885.527000	1886.369000	0.066609	NaN	NaN	1885798.133333	8388608
2021.12.02 02:21:00	1886.023633	128	60	60	1	1885.802000	1886.085000	0.013626	NaN	NaN	1886023.633333	8388608
2021.12.02 02:22:00	1886.402250	128	60	60	1	1886.084000	1886.647000	0.038607	NaN	NaN	1886402.250000	8388608
