$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_Signal_Raw_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Raw, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Raw	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.12 02:10:00	20438.133333	0	60	60	1	20437.000000	20439.000000	0.151412	NaN	NaN	20438.133333	0
2021.12.12 02:11:00	20437.816667	0	60	60	1	20437.000000	20438.000000	0.152260	NaN	NaN	20437.816667	9
2021.12.12 02:12:00	20438.883333	0	60	60	1	20438.000000	20440.000000	0.206497	NaN	NaN	20438.883333	9
2021.12.12 02:13:00	20437.883333	0	60	59	1	20437.000000	20439.000000	0.477684	NaN	NaN	20437.883333	0
2021.12.12 02:14:00	20437.300000	0	60	60	1	20436.000000	20438.000000	0.416949	NaN	NaN	20437.300000	9
2021.12.12 02:15:00	20436.750000	0	60	60	1	20436.000000	20437.000000	0.190678	NaN	NaN	20436.750000	0
2021.12.12 02:16:00	20436.933333	0	60	60	1	20436.000000	20437.000000	0.063277	NaN	NaN	20436.933333	0
2021.12.12 02:17:00	20435.683333	0	60	60	1	20434.000000	20437.000000	0.762429	NaN	NaN	20435.683333	0
2021.12.12 02:18:00	20432.700000	0	60	60	1	20432.000000	20434.000000	0.484746	NaN	NaN	20432.700000	0
2021.12.12 02:19:00	20432.116667	0	60	60	1	20431.000000	20433.000000	0.511582	NaN	NaN	20432.116667	0
2021.12.12 02:20:00	20430.883333	0	60	60	1	20430.000000	20432.000000	0.138701	NaN	NaN	20430.883333	9
2021.12.12 02:21:00	20430.754098	0	61	61	1	20430.000000	20431.000000	0.188525	NaN	NaN	20430.754098	0
2021.12.12 02:22:00	20430.203390	0	59	59	1	20429.000000	20431.000000	0.199299	NaN	NaN	20430.203390	0
2021.12.12 02:23:00	20430.583333	0	60	60	1	20430.000000	20431.000000	0.247175	NaN	NaN	20430.583333	9
2021.12.12 02:24:00	20430.850000	0	60	60	1	20430.000000	20431.000000	0.129661	NaN	NaN	20430.850000	0
2021.12.12 02:25:00	20429.933333	0	60	60	1	20429.000000	20431.000000	0.300565	NaN	NaN	20429.933333	9
